,Category,type,Park
0,0,이도저도아닌형,가득뜰근린공원
1,0,이도저도아닌형,가락뜰근린공원
2,0,이도저도아닌형,가랑터소공원
3,0,이도저도아닌형,고복저수지군립공원
4,0,이도저도아닌형,고운뜰근린공원
5,0,이도저도아닌형,그루터소공원
6,0,이도저도아닌형,근린-새롬동 576
7,0,이도저도아닌형,금남근린공원
8,0,이도저도아닌형,금남제2호공원
9,0,이도저도아닌형,금지어린이공원
10,0,이도저도아닌형,기쁨뜰근린공원
11,0,이도저도아닌형,꽃다비어린이공원
12,0,이도저도아닌형,꾸러기어린이공원
13,0,이도저도아닌형,나리꽃어린이공원
14,0,이도저도아닌형,너비뜰근린공원
15,0,이도저도아닌형,누리빛문화공원
16,0,이도저도아닌형,눈풀어린이공원
17,0,이도저도아닌형,달님뜰근린공원
18,0,이도저도아닌형,대롱꽃어린이공원
19,0,이도저도아닌형,대평뜰근린공원
20,0,이도저도아닌형,도란뜰근린공원
21,0,이도저도아닌형,도램뜰근린공원
22,0,이도저도아닌형,도시숲공원
23,0,이도저도아닌형,두레뜰근린공원
24,0,이도저도아닌형,두루뜰근린공원
25,0,이도저도아닌형,뒤웅박고을
26,0,이도저도아닌형,뜸이기뜰근린공원
27,0,이도저도아닌형,마디꽃수변공원
28,0,이도저도아닌형,맑은뜰근린공원
29,0,이도저도아닌형,모개뜰근린공원
30,0,이도저도아닌형,물빛광장문화공원
31,0,이도저도아닌형,별가득어린이공원
32,0,이도저도아닌형,별뜰근린공원
33,0,이도저도아닌형,별바라기어린이공원
34,0,이도저도아닌형,별찌뜰근린공원
35,0,이도저도아닌형,보람뜰근린공원
36,0,이도저도아닌형,봄뜰근린공원
37,0,이도저도아닌형,봄빛문화공원
38,0,이도저도아닌형,봄빛어린이공원
39,0,이도저도아닌형,부강공원
40,0,이도저도아닌형,부강새말어린이공원
41,0,이도저도아닌형,부엉뜰근린공원
42,0,이도저도아닌형,붓꽃수변공원
43,0,이도저도아닌형,빛가람수변공원
44,0,이도저도아닌형,빛뜰근린공원
45,0,이도저도아닌형,사랑뜰근린공원
46,0,이도저도아닌형,새뜰근린공원
47,0,이도저도아닌형,샛별어린이공원
48,0,이도저도아닌형,섬초롱어린이공원
49,0,이도저도아닌형,세종마루공원
50,0,이도저도아닌형,솔뜰근린공원
51,0,이도저도아닌형,솜꽃어린이공원
52,0,이도저도아닌형,수루배뜰근린공원
53,0,이도저도아닌형,수원지공원
54,0,이도저도아닌형,숲바람수변공원
55,0,이도저도아닌형,슬기샘어린이공원
56,0,이도저도아닌형,아울뜰근린공원
57,0,이도저도아닌형,아이뜰어린이공원
58,0,이도저도아닌형,안뜰근린공원
59,0,이도저도아닌형,앵두꽃어린이공원
60,0,이도저도아닌형,어서각
61,0,이도저도아닌형,어진뜰근린공원
62,0,이도저도아닌형,여울목수변공원
63,0,이도저도아닌형,연기대첩비공원
64,0,이도저도아닌형,오래뜰근린공원
65,0,이도저도아닌형,우람뜰근린공원
66,0,이도저도아닌형,재께뜰근린공원
67,0,이도저도아닌형,제13호공원
68,0,이도저도아닌형,제15호공원
69,0,이도저도아닌형,제2호공원
70,0,이도저도아닌형,제5호공원
71,0,이도저도아닌형,주비뜰근린공원
72,0,이도저도아닌형,참뜰근린공원
73,0,이도저도아닌형,참샘어린이공원
74,0,이도저도아닌형,침산공원(충령탑)
75,0,이도저도아닌형,큰별꽃근린공원
76,0,이도저도아닌형,풀꽃어린이공원
77,0,이도저도아닌형,한솔뜰근린공원
78,0,이도저도아닌형,함뱅이뜰근린공원
79,0,이도저도아닌형,함소꽃어린이공원
80,0,이도저도아닌형,해든뜰근린공원
81,1,가족어린이형,꽃누리어린이공원
82,1,가족어린이형,방울새어린이공원
83,1,가족어린이형,원수산습지생태원
84,1,가족어린이형,초롱꽃어린이공원
85,2,자연풍경형,고복자연공원
86,2,자연풍경형,두무뜰근린공원
87,2,자연풍경형,무궁화테마공원
88,2,자연풍경형,새숨뜰근린공원
89,2,자연풍경형,숲바람장미원
90,2,자연풍경형,은방울꽃어린이공원
91,2,자연풍경형,제천뜰근린공원
92,2,자연풍경형,조천연꽃공원
93,2,자연풍경형,푸른뜰근린공원
94,3,레저스포츠형,금강수변공원
95,3,레저스포츠형,금남면종합체육공원
96,3,레저스포츠형,바람재쉼터
97,3,레저스포츠형,세종중앙공원
98,3,레저스포츠형,숲뜰근린공원
99,3,레저스포츠형,오가낭뜰근린공원
100,3,레저스포츠형,오봉산맨발등산길
101,3,레저스포츠형,원수산MTB공원
102,3,레저스포츠형,품안뜰근린공원
103,3,레저스포츠형,합강공원
104,4,역사유적형,나성동독락역사공원
105,4,역사유적형,다비숲공원
106,4,역사유적형,백제역사고분
107,4,역사유적형,세종리은행나무역사공원
108,4,역사유적형,아침뜰근린공원
109,4,역사유적형,초려역사공원
110,5,문화/도시형,물별수변공원
111,5,문화/도시형,세종호수공원
112,5,문화/도시형,참샘무궁화정원
